Date_Reported,Cumulative_Cases
11/12/2022,8265
18/12/2022,8266
25/12/2022,8266
01/01/2023,8285
08/01/2023,8302
15/01/2023,8309
22/01/2023,8317
29/01/2023,8320
05/02/2023,8320
12/02/2023,8320
19/02/2023,8320
26/02/2023,8320
05/03/2023,8320
12/03/2023,8320
19/03/2023,8321
26/03/2023,8324
02/04/2023,8326
09/04/2023,8327
16/04/2023,8329
23/04/2023,8329
30/04/2023,8329
07/05/2023,8331
14/05/2023,8331
21/05/2023,8331
28/05/2023,8331
04/06/2023,8332
11/06/2023,8332
18/06/2023,8332
25/06/2023,8332
02/07/2023,8332
09/07/2023,8341
16/07/2023,8341
23/07/2023,8341
30/07/2023,8341
06/08/2023,8341
13/08/2023,8341
20/08/2023,8341
27/08/2023,8341
03/09/2023,8341
10/09/2023,8341
17/09/2023,8359
24/09/2023,8359
01/10/2023,8359
08/10/2023,8359
15/10/2023,8359
22/10/2023,8359
29/10/2023,8359
05/11/2023,8359
12/11/2023,8359
19/11/2023,8359
26/11/2023,8359
03/12/2023,8359
10/12/2023,8359
17/12/2023,8359
24/12/2023,8359
31/12/2023,8359
07/01/2024,8359
14/01/2024,8359
21/01/2024,8359
28/01/2024,8359
04/02/2024,8359
11/02/2024,8359
18/02/2024,8359
25/02/2024,8359
03/03/2024,8359
10/03/2024,8359
17/03/2024,8359
24/03/2024,8359
31/03/2024,8359
07/04/2024,8359
14/04/2024,8359
21/04/2024,8359
28/04/2024,8359
05/05/2024,8359
12/05/2024,8359
19/05/2024,8359
26/05/2024,8359
02/06/2024,8359
09/06/2024,8359
16/06/2024,8359
23/06/2024,8359
30/06/2024,8359
07/07/2024,8359
14/07/2024,8359
21/07/2024,8359
28/07/2024,8359
04/08/2024,8359
11/08/2024,8359
05/01/2020,0
12/01/2020,0
19/01/2020,0
26/01/2020,0
02/02/2020,0
09/02/2020,0
16/02/2020,0
23/02/2020,0
01/03/2020,0
08/03/2020,1
15/03/2020,2
22/03/2020,133
29/03/2020,341
05/04/2020,466
12/04/2020,622
19/04/2020,704
26/04/2020,738
03/05/2020,747
10/05/2020,754
17/05/2020,761
24/05/2020,763
31/05/2020,764
07/06/2020,852
14/06/2020,853
21/06/2020,855
28/06/2020,855
05/07/2020,855
12/07/2020,855
19/07/2020,880
26/07/2020,897
02/08/2020,930
09/08/2020,956
16/08/2020,997
23/08/2020,1047
30/08/2020,1124
06/09/2020,1215
13/09/2020,1344
20/09/2020,1564
27/09/2020,1836
04/10/2020,2110
11/10/2020,2696
18/10/2020,3377
25/10/2020,4038
01/11/2020,4756
08/11/2020,5319
15/11/2020,5725
22/11/2020,6207
29/11/2020,6610
06/12/2020,7005
13/12/2020,7288
20/12/2020,7560
27/12/2020,7806
03/01/2021,8166
10/01/2021,8586
17/01/2021,9038
24/01/2021,9499
31/01/2021,9885
07/02/2021,10206
14/02/2021,10463
21/02/2021,10672
28/02/2021,10849
07/03/2021,11019
14/03/2021,11228
21/03/2021,11481
28/03/2021,11809
04/04/2021,12174
11/04/2021,12497
18/04/2021,12771
25/04/2021,13024
02/05/2021,13232
09/05/2021,13406
16/05/2021,13510
23/05/2021,13609
30/05/2021,13693
06/06/2021,13758
13/06/2021,13813
20/06/2021,13842
27/06/2021,13882
04/07/2021,13918
11/07/2021,14075
18/07/2021,14273
25/07/2021,14498
01/08/2021,14678
08/08/2021,14836
15/08/2021,14924
22/08/2021,14988
29/08/2021,15025
05/09/2021,15055
12/09/2021,15083
19/09/2021,15124
26/09/2021,15167
03/10/2021,15222
10/10/2021,15291
17/10/2021,15338
24/10/2021,15404
31/10/2021,15516
07/11/2021,15618
14/11/2021,15819
21/11/2021,16086
28/11/2021,16712
05/12/2021,18010
12/12/2021,19440
19/12/2021,20549
26/12/2021,21730
02/01/2022,23740
09/01/2022,26408
16/01/2022,29888
23/01/2022,33025
30/01/2022,35556
06/02/2022,36599
13/02/2022,37140
20/02/2022,37589
27/02/2022,37999
06/03/2022,38434
13/03/2022,38794
20/03/2022,39234
27/03/2022,39713
03/04/2022,40024
10/04/2022,40328
17/04/2022,40709
24/04/2022,41013
01/05/2022,41349
08/05/2022,41717
15/05/2022,42156
22/05/2022,42572
29/05/2022,42894
05/06/2022,43067
12/06/2022,43224
19/06/2022,43449
26/06/2022,43774
03/07/2022,44177
10/07/2022,44671
17/07/2022,45061
24/07/2022,45326
31/07/2022,45508
07/08/2022,45793
14/08/2022,45899
21/08/2022,45975
28/08/2022,46027
04/09/2022,46027
11/09/2022,46113
18/09/2022,46147
25/09/2022,46147
02/10/2022,46227
09/10/2022,46275
16/10/2022,46366
23/10/2022,46449
30/10/2022,46535
06/11/2022,46588
13/11/2022,46664
20/11/2022,46824
27/11/2022,46824
04/12/2022,47219
11/12/2022,47446
18/12/2022,47606
25/12/2022,47686
01/01/2023,47751
08/01/2023,47781
15/01/2023,47781
22/01/2023,47820
29/01/2023,47839
05/02/2023,47850
12/02/2023,47860
19/02/2023,47866
26/02/2023,47875
05/03/2023,47890
12/03/2023,47898
19/03/2023,47908
26/03/2023,47917
02/04/2023,47930
09/04/2023,47939
16/04/2023,47945
23/04/2023,47945
30/04/2023,47974
07/05/2023,48015
14/05/2023,48015
21/05/2023,48015
28/05/2023,48015
04/06/2023,48015
11/06/2023,48015
18/06/2023,48015
25/06/2023,48015
02/07/2023,48015
09/07/2023,48015
16/07/2023,48015
23/07/2023,48015
30/07/2023,48015
06/08/2023,48015
13/08/2023,48015
20/08/2023,48015
27/08/2023,48015
03/09/2023,48015
10/09/2023,48015
17/09/2023,48015
24/09/2023,48015
01/10/2023,48015
08/10/2023,48015
15/10/2023,48015
22/10/2023,48015
29/10/2023,48015
05/11/2023,48015
12/11/2023,48015
19/11/2023,48015
26/11/2023,48015
03/12/2023,48015
10/12/2023,48015
17/12/2023,48015
24/12/2023,48015
31/12/2023,48015
07/01/2024,48015
14/01/2024,48015
21/01/2024,48015
28/01/2024,48015
04/02/2024,48015
11/02/2024,48015
18/02/2024,48015
25/02/2024,48015
03/03/2024,48015
10/03/2024,48015
17/03/2024,48015
24/03/2024,48015
31/03/2024,48015
07/04/2024,48015
14/04/2024,48015
21/04/2024,48015
28/04/2024,48015
05/05/2024,48015
12/05/2024,48015
19/05/2024,48015
26/05/2024,48015
02/06/2024,48015
09/06/2024,48015
16/06/2024,48015
23/06/2024,48015
30/06/2024,48015
07/07/2024,48015
14/07/2024,48015
21/07/2024,48015
28/07/2024,48015
04/08/2024,48015
11/08/2024,48015
05/01/2020,0
12/01/2020,0
19/01/2020,0
26/01/2020,0
02/02/2020,0
09/02/2020,0
16/02/2020,0
23/02/2020,0
01/03/2020,0
08/03/2020,0
15/03/2020,0
22/03/2020,0
29/03/2020,0
05/04/2020,10
12/04/2020,19
19/04/2020,24
26/04/2020,25
03/05/2020,35
10/05/2020,43
17/05/2020,48
24/05/2020,61
31/05/2020,84
07/06/2020,88
14/06/2020,138
21/06/2020,172
28/06/2020,259
05/07/2020,346
12/07/2020,483
19/07/2020,687
26/07/2020,916
02/08/2020,1164
09/08/2020,1572
16/08/2020,1879
23/08/2020,2134
30/08/2020,2551
06/09/2020,2935
